phase,source_url,destination_url,link_type,anchor_text,http_status,evidence,recommended_action
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,http://www.deviodigital.com/demo/peddle/,external,live demo,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,http://www.deviodigital.com/demo/peddle/,external,theme demo,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,http://buildwpyourself.com/integrate-wordpress-themes-with-easy-digital-downloads/,external,Sean Davis' tutorial for integrating EDD into a WordPress theme,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,http://www.deviodigital.com/demo/peddle/,external,test drive,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/projects/,https://github.com/robertdevore/ward/,external,Ward,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/projects/,https://github.com/robertdevore/laravel-cms/,external,LaravelCMS,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/projects/,https://github.com/robertdevore/cipher-studies/,external,Cipher Studies,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/projects/,https://github.com/robertdevore/writing-style-analyzer/,external,Writing Style Analyzer,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/projects/,https://github.com/robertdevore/vs-code-focus-mode/,external,VS Code Focus Mode,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/projects/,https://github.com/robertdevore/rsvp-reader/,external,RSVP Reader,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/relentless/,https://therisetothetop.com/davids-blog/myth-of-overnight-success/,external,overnight success,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/rethinking-keyword-research-in-the-age-of-ai/,https://t.co/mGoECwVfYJ/,external,pic.twitter.com/mGoECwVfYJ,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/reusable-flask-error-handling-a-step-by-step-guide-to-modular-http-error-responses/,https://savage.robertdevore.com/,external,Savage Scanner,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/reusable-flask-error-handling-a-step-by-step-guide-to-modular-http-error-responses/,https://vuln.robertdevore.com/,external,Vuln Search,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/run-a-tor-relay/,http://www.torproject.org/projects/arm.html.en,external,Arm,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/run-a-tor-relay/,http://www.torproject.org/index.html.en,external,Tor Project,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/run-a-tor-relay/,http://www.eff.org/torchallenge/,external,EFF's Tor Challenge,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/run-a-tor-relay/,http://longren.io/tor-is-important-for-privacy-and-the-internet/,external,Tyler Longren's article,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,https://demo.stattic.site/,external,View the demo,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,https://docs.stattic.site/,external,View the docs,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/stop-gambling-with-client-trust-why-skipping-a-security-audit-is-a-risk-you-cant-afford/,https://robertdevore.com/security-audits-for-wordpress/,internal,professional security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/stop-gambling-with-client-trust-why-skipping-a-security-audit-is-a-risk-you-cant-afford/,https://robertdevore.com/security-audits-for-wordpress/,internal,security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/stop-gambling-with-client-trust-why-skipping-a-security-audit-is-a-risk-you-cant-afford/,https://robertdevore.com/security-audits-for-wordpress/,internal,security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/stop-gambling-with-client-trust-why-skipping-a-security-audit-is-a-risk-you-cant-afford/,https://robertdevore.com/security-audits-for-wordpress/,internal,security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/stop-gambling-with-client-trust-why-skipping-a-security-audit-is-a-risk-you-cant-afford/,https://robertdevore.com/security-audits-for-wordpress/,internal,get a security audit today,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/thank-you-wordpress/,http://binarybonsai.com/kubrick/,external,Kubrick theme,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/the-past-present-and-future-of-wp-dispensary/,https://cannabiz.pro/,external,"CannaBiz Software, LLC",0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://twitter.com/search-advanced/,external,Advanced Search,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://twitter.com/search-advanced/,external,Twitter Advanced Search,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://www.receptional.com/blog/a-comprehensive-list-of-twitter-search-operators/,external,Advanced Search Operators: How to Mine Twitter for Valuable Business Leads,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://www.razorsocial.com/twitter-advanced-search/,external,Razor Social's Ultimate Guide to Twitter Advanced Search,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://blog.twitter.com/2009/10/theres-list-for-that.html,external,since 2009,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://www.statisticbrain.com/twitter-statistics/,external,actively use Twitter,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://www.twitter.com/deviorobert/,external,personal Twitter account,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://www.twitter.com/garyvee/,external,Gary Vaynerchuk,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/twitter-marketing/,http://blog.brand24.com/5-tips-on-twitter-cover-photo/,external,creative way,410,HTTP Error 410: Gone,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/two-years-building-wp-dispensary/,https://t.co/DRzsMaYqdb/,external,pic.twitter.com/DRzsMaYqdb,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/two-years-building-wp-dispensary/,http://dispensary.press/,external,Dispensary.Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/two-years-building-wp-dispensary/,http://cannabiz.design/,external,CannaBiz.Design,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/two-years-building-wp-dispensary/,http://marijuanalawshq.com/,external,Marijuana Laws HQ,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/two-years-building-wp-dispensary/,https://t.co/C9pDCbzkdx/,external,pic.twitter.com/C9pDCbzkdx,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/why-wordpress-plugin-developers-need-security-audits/,https://robertdevore.com/security-audits-for-wordpress/,internal,security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/why-wordpress-plugin-developers-need-security-audits/,https://robertdevore.com/security-audits-for-wordpress/,internal,security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/why-wordpress-plugin-developers-need-security-audits/,https://robertdevore.com/security-audits-for-wordpress/,internal,security audit,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/why-wordpress-plugin-developers-need-security-audits/,https://robertdevore.com/security-audits-for-wordpress/,internal,make sure your shit is secure,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/wordpress-woocommerce-plugins-i-will-no-longer-maintain/,https://robertdevore.com/tag/extreme-leadership/,internal,Extreme Leadership,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/wordpress-woocommerce-plugins-i-will-no-longer-maintain/,https://devio.chat/,external,Devio Chat,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/wp-townhall-13-the-debate-kevin-geary-doesnt-want-you-to-see/,https://robertdevore.com/tag/extreme-leadership/,internal,leadership,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/wp-townhall-13-the-debate-kevin-geary-doesnt-want-you-to-see/,https://wptownhall.show/,external,WP Townhall,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/wtf-is-wordpress/,https://robertdevore.com/images/wordpress_com_vs_wp_engine_google_search_results_scaled.webp,internal,[non-text link],missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/wtf-is-wordpress/,https://en.wikipedia.org/wiki/WordPress/,external,Wikipedia,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://pillar.press/,external,Pillar.Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://www.toddmotto.com/,external,Todd Motto,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://github.com/html5blank/,external,HTML5Blank,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://html5blank.com/,external,landing page,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://pillar.press/,external,Pillar Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://pillar.press/,external,Pillar Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://www.github.com/pillarpress/pillar-press-content-blocks/,external,Github,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://www.github.com/pillarpress/pillar-press-content-blocks/,external,Content Blocks plugin,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,upgrade to Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,go Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,https://cannabiz.software/,external,CannaBiz Software,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,https://www.kadencewp.com/introducing-the-innovative-kadence-design-library-revolutionizing-the-world-of-design-patterns/,external,design library,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://alisonmyrden.com/MMM%20new/mediamedicalmarijuana2.htm,external,reviewed 48 long-term studies,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://cmcr.ucsd.edu/images/pdfs/cmcr_report_feb17.pdf,external,publicly announced the findings,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://preventdisease.com/news/10/120310_marijuana_cuts_tumor_growth.shtml,external,reduce cancer growth by 50%,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://safeaccess.ca/research/cancer.htm,external,extensive list of studies,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://www.medicaldaily.com/cannabis-oil-helped-stop-8-year-old-forrest-smelsers-seizures-when-other-drugs-311960/,external,8 year old Forrest Smelser,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://www.komonews.com/news/local/283635751.html,external,KOMO News,400,HTTP Error 400: Bad Request,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://www.niaaa.nih.gov/research/niaaa-intramural-program/niaaa-laboratories/laboratory-behavioral-and-genomic-neuroscience/,external,National Institute on Alcohol Abuse and Alcoholism,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://www.leafscience.com/2014/06/19/cannabis-treats-ptsd-symptoms-pilot-study/,external,confirmed,0,TimeoutError: timed out,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://www.leafscience.com/2013/11/25/5-ways-marijuana-affects-sleep/,external,affect sleep,0,TimeoutError: timed out,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,https://www.scripps.edu/news/press/2006/080906.html,external,2006 study,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,http://www.eurekalert.org/pub_releases/2008-08/lsuh-lrr082008.php,external,provides evidence,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/cannabis-health-benefits/,"http://en.wikipedia.org/wiki/WIN_55,212-2/",external,"WIN 55,212-2",404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,https://wpbloggerpoints.com/2016/09/say-hi-to-bloggerpoints/,external,Bloggerpoints,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/clean-blog-free-wordpress-theme/,http://www.deviodigital.com/demo/cleanblog/,external,live demo,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/clean-blog-free-wordpress-theme/,http://www.deviodigital.com/demo/cleanblog/,external,demo,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/clean-blog-free-wordpress-theme/,http://www.deviodigital.com/demo/cleanblog/,external,test drive,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/creating-my-own-cipher-code/,https://t.co/X0sGSU0vbG/,external,pic.twitter.com/X0sGSU0vbG,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://notmatt.press/,external,NotMatt.Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://github.com/robertdevore/poocommerce/,external,PooCommerce,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://t.co/V4JoWQwJxh/,external,pic.twitter.com/V4JoWQwJxh,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://github.com/notmattpress/poopayments/,external,PooPayments,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://savage.robertdevore.com/,external,web app,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://vuln.robertdevore.com/,external,web app,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://www.deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://www.deviodigital.com/product/affililink/,external,AffiliLink,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://www.deviodigital.com/product/waitlist-for-the-events-calendar/,external,Waitlist for The Events Calendar,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://vuln.robertdevore.com/,external,focused,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://savage.robertdevore.com/,external,tools,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/december-2024-a-retrospective/,https://github.com/getstattic/stattic-admin/,external,Stattic Admin,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/delivery-drivers-for-woocommerce/,https://www.deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/delivery-drivers-for-woocommerce/,https://deviodigital.com/product/delivery-drivers-for-woocommerce-pro/,external,View DDWC Pro →,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/devio-digital/,http://www.deviodigital.com/,external,[non-text link],0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/devio-digital/,http://www.deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/devio-digital/,http://www.deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/dispensary-wordpress-plugins-2017/,http://www.thecannabist.co/2016/11/14/marijuana-legalization-election-2016-tipping-point/67407/,external,medical and recreational marijuana laws,0,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.thecannabist.co'. (_ssl.c:997)>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/do-less-deliver-more/,https://deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/extreme-programming-for-extreme-leaders/,https://en.wikipedia.org/wiki/Extreme_programming/,external,Extreme Programming,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/going-all-in-one-year-later/,https://ww.wpdispensary.com/,external,WP Dispensary,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/going-all-in-one-year-later/,https://t.co/JyDc05YYu8/,external,pic.twitter.com/JyDc05YYu8,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/going-all-in-one-year-later/,https://www.deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/going-all-in-one-year-later/,https://deviodigital.com/product/delivery-drivers-for-woocommerce-pro/,external,Delivery Drivers for WooCommerce Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/going-all-in-one-year-later/,https://t.co/r5oZlgxPCX/,external,pic.twitter.com/r5oZlgxPCX,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://notmatt.press/,external,auto-forked WordPress®,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/goodbye-wordpress-a-eulogy/,https://devio.chat/,external,Devio Chat,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,https://bsky.app/profile/that.mitchcanter.me,external,Mitch Canter,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/generator/,external,AI tool,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,[non-text link],0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/pricing/,external,[non-text link],0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/about-plugsy/,external,Plugsy,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,https://pluginpal.app/,external,Plugin Pal,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/how-hungry-are-you/,https://cannabiz.pro/,external,CannaBiz Software,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,http://https/python.robertdevore.com,external,Python course,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,https://deviodigital.com/,external,Devio Digital,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
after,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,https://python.robertdevore.com/blog/chapter-1-beginner-python/,external,Chapter 1: Beginner Python,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,https://python.robertdevore.com/blog/python-setup-and-ides/,external,1.1. Python Setup & IDEs,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
after,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,https://python.robertdevore.com/blog/syntax-and-data-types/,external,1.2. Syntax & Data Types,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
