phase,source_url,destination_url,link_type,anchor_text,http_status,evidence,recommended_action
baseline,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,https://robertdevore.com/projects/markdown-comments-for-wordpress/,internal,Markdown Comments for WordPress®,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,https://robertdevore.com/projects/projects-for-wordpress/,internal,Projects for WordPress®,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,https://robertdevore.com/projects/projects-for-wordpress/,internal,Projects for WordPress®,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,https://robertdevore.com/projects/projects-for-wordpress/,internal,robertdevore.com,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,https://robertdevore.com/projects/projects-for-wordpress/,internal,Projects for WordPress®,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,https://robertdevore.com/projects/slop-stopper/,internal,Slop Stopper,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,https://robertdevore.com/projects/slop-stopper/,internal,Slop Stopper,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,https://robertdevore.com/projects/slop-stopper/,internal,Slop Stopper,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/introducing-stats-for-wordpress/,https://misophoniafoundation.com/freemium-to-extortion-how-jetpacks-policy-change-hurts-nonprofits-like-ours/,external,changed its usage restrictions,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/introducing-stats-for-wordpress/,https://bsky.app/profile/robertdevore.com,external,Bluesky,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/introducing-the-user-login-status-plugin-for-wordpress/,https://robertdevore.com/images/user_login_status_users_screen.webp,internal,[non-text link],missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/invest-in-yourself/,http://www.twitter.com/garyvee/,external,guy,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
