phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
baseline,https://robertdevore.com/introducing-benchpress/,3,6,19,6,False,False,1,False,True,1 broken internal links
baseline,https://robertdevore.com/introducing-block-ai-crawlers-for-wordpress/,3,5,18,10,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-bluesky-feed-for-wordpress/,3,6,19,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-brands-for-woocommerce-free/,3,6,19,8,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-broken-image-scanner/,3,5,19,5,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-bulk-stock-management-for-woocommerce-free/,3,6,19,7,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-content-restriction-for-wordpress/,3,5,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-delete-inactive-users/,3,5,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-digg-this-a-social-sharing-plugin-for-wordpress/,3,5,19,9,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-dispensary-details-for-woocommerce/,3,6,23,3,False,False,4,False,True,4 broken internal links
baseline,https://robertdevore.com/introducing-gallery-modals-enhance-your-wordpress-galleries-with-stunning-popups/,3,5,19,5,False,False,1,False,True,1 broken internal links
baseline,https://robertdevore.com/introducing-gift-cards-for-woocommerce-free/,3,6,20,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-hpos-compatibility-scanner-for-woocommerce-free/,3,7,19,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-img-a11y/,3,6,18,4,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-intellipress-the-smart-ai-assistant-for-wordpress/,3,5,18,10,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-maintenance-mode-for-wordpress/,3,5,18,10,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,2,5,20,5,False,False,2,False,True,2 broken internal links
baseline,https://robertdevore.com/introducing-markdown-exporter-for-wordpress/,3,5,18,12,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-media-copyright-scanner/,3,6,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-media-file-versioning-for-wordpress/,3,6,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-metadata-import-export-for-yoast-seo/,3,6,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-module-usage-tracker-for-wp-bakery/,3,5,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-pattern-pal-ai-powered-patterns-for-wordpress/,3,5,18,8,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-persistent-dismissible-notices/,3,6,18,7,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,3,5,23,4,False,False,4,False,True,4 broken internal links
baseline,https://robertdevore.com/introducing-purchase-orders-for-woocommerce-free/,3,7,19,7,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-seo-for-wordpress/,3,6,18,10,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-shipping-multiple-addresses-for-woocommerce-free/,3,7,19,8,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-site-vitals-for-wordpress/,3,6,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,3,5,21,2,False,False,3,False,True,3 broken internal links
baseline,https://robertdevore.com/introducing-stats-for-wordpress/,3,6,18,9,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-table-block-enhancer-for-wordpress/,3,6,18,8,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-test-orders-for-woocommerce/,3,7,20,8,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-the-phlush-permalinks-wordpress-plugin/,3,5,18,4,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-the-prompts-library-a-playground-for-ai-creativity/,3,5,18,11,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-the-user-login-status-plugin-for-wordpress/,3,5,19,4,False,False,1,False,True,1 broken internal links
baseline,https://robertdevore.com/introducing-vertical-gallery-product-display-for-woocommerce/,3,7,19,5,False,False,0,False,True,
baseline,https://robertdevore.com/introducing-widget-usage-tracker-for-elementor/,3,5,19,6,False,False,0,False,True,
baseline,https://robertdevore.com/invest-in-yourself/,4,5,19,12,False,True,0,False,True,more than three clicks from homepage
